OrderID,OrderDate,Region,Category,PaymentMethod,Quantity,UnitPrice,Revenue,CustomerAge
ORD1564,2025-04-10,West,Clothing,Credit Card,3,392.17,1176.51,52
ORD1141,2025-02-08,East,Grocery,Cash,8,261.82,2787.12,43
ORD1435,2025-12-19,South,Toys,Credit Card,1,113.16,113.16,59
ORD1070,2025-03-31,South,Clothing,Cash,9,250.54,2254.86,67
ORD1291,2025-09-20,East,Furniture,Upi,7,264.96,1854.72,24
ORD1258,2025-01-21,East,Electronics,Cash,8,205.63,1645.04,47
ORD1000,2025-04-13,West,Toys,Cash,8,301.34,2410.72,56
ORD1229,2025-04-09,North,Electronics,Credit Card,4,420.77,1683.08,64
ORD1249,2025-01-12,East,Furniture,Credit Card,9,436.53,3928.77,36
ORD1383,2025-06-09,East,Furniture,Credit Card,8,261.82,1070.24,54
ORD1337,2025-02-11,North,Clothing,Credit Card,1,477.89,477.89,34
ORD1110,2025-07-02,North,Grocery,Cash,8,94.13,753.04,21
ORD1294,2025-05-21,East,Toys,Cash,9,397.9,3581.1,32
ORD1387,2025-03-22,North,Toys,Upi,9,396.89,3572.01,66
ORD1455,2025-06-25,West,Furniture,Cash,1,57.1,57.1,66
ORD1200,2025-05-26,South,Toys,Credit Card,1,455.62,455.62,32
ORD1333,2025-11-10,East,Toys,Credit Card,5,417.98,2089.9,62
ORD1159,2025-02-18,East,Electronics,Credit Card,7,216.26,1513.82,36
ORD1441,2025-08-03,North,Electronics,Upi,2,61.67,123.34,47
ORD1321,2025-06-13,East,Electronics,Cash,6,415.52,2493.12,69
ORD1053,2025-11-18,East,Grocery,Credit Card,6,297.46,1784.76,39
ORD1557,2025-05-19,South,Electronics,Credit Card,4,474.86,1899.44,64
ORD1451,2025-06-05,West,Electronics,Cash,9,18.57,167.13,50
ORD1248,2025-11-10,South,Clothing,Credit Card,9,86.18,775.62,31
ORD1280,2025-03-23,North,Electronics,Cash,1,64.5,64.5,24
ORD1101,2025-09-17,South,Electronics,Credit Card,8,261.82,2487.76,45
ORD1422,2025-08-10,North,Furniture,Cash,4,439.23,1756.92,19
ORD1507,2025-01-28,South,Electronics,Debit Card,5,147.27,736.35,52
ORD1426,2025-11-20,East,Electronics,Upi,8,478.13,3825.04,43
ORD1327,2025-05-29,North,Furniture,Cash,3,92.99,278.97,33
ORD1446,2025-01-28,East,Furniture,Cash,5,451.71,2258.55,55
ORD1154,2025-10-18,East,Furniture,Credit Card,6,176.44,1058.64,35
ORD1499,2025-01-13,North,Electronics,Debit Card,1,339.67,339.67,42
ORD1526,2025-10-21,North,Clothing,Cash,3,87.05,261.15,46
ORD1529,2025-12-21,West,Grocery,Upi,9,113.46,1021.14,54
ORD1385,2025-11-01,East,Grocery,Credit Card,5,306.22,1531.1,43
ORD1324,2025-06-09,North,Grocery,Cash,2,326.85,653.7,36
ORD1155,2025-12-13,North,Grocery,Cash,3,127.87,383.61,42
ORD1236,2025-06-02,South,Electronics,Cash,4,218.0,872.0,55
ORD1293,2025-09-20,South,Electronics,Debit Card,8,265.62,2124.96,64
ORD1485,2025-12-24,West,Clothing,Upi,8,151.17,1209.36,51
ORD1370,2025-05-26,East,Furniture,Credit Card,9,466.89,4202.01,62
ORD1388,2025-01-17,South,Electronics,Credit Card,5,74.78,373.9,39
ORD1536,2025-11-18,East,Grocery,Cash,5,126.67,633.35,46
ORD1417,2025-09-27,South,Electronics,Cash,3,413.89,1241.67,36
ORD1354,2025-01-22,West,Toys,Credit Card,2,58.43,116.86,38
ORD1371,2025-06-10,North,Furniture,Debit Card,6,495.61,2973.66,28
ORD1132,2025-09-18,East,Clothing,Debit Card,2,261.82,329.14,19
ORD1384,2025-11-10,North,Clothing,Credit Card,3,363.95,1091.85,54
ORD1496,2025-11-03,North,Grocery,Credit Card,6,191.77,1150.62,29
ORD1515,2025-11-09,South,Furniture,Cash,5,325.0,1625.0,24
ORD1498,2025-11-12,East,Electronics,Credit Card,7,130.84,915.88,60
ORD1509,2025-10-30,North,Clothing,Credit Card,5,455.98,2279.9,19
ORD1574,2025-08-02,North,Grocery,Upi,7,472.5,3307.5,30
ORD1239,2025-04-05,South,Grocery,Credit Card,9,430.76,3876.84,55
ORD1134,2025-02-07,East,Grocery,Cash,1,426.11,426.11,61
ORD1202,2025-03-02,North,Grocery,Debit Card,6,491.25,2947.5,63
ORD1272,2025-05-31,South,Toys,Debit Card,2,104.92,209.84,25
ORD1108,2025-05-18,North,Clothing,Credit Card,4,232.27,929.08,51
ORD1098,2025-11-07,South,Furniture,Credit Card,5,499.86,2499.3,55
ORD1142,2025-01-15,East,Toys,Credit Card,4,372.02,1488.08,44
ORD1504,2025-05-17,North,Grocery,Cash,8,261.82,2604.96,53
ORD1595,2025-11-27,South,Clothing,Upi,6,194.73,1168.38,53
ORD1273,2025-12-07,North,Toys,Cash,5,481.86,2409.3,64
ORD1447,2025-12-16,South,Electronics,Credit Card,3,227.18,681.54,62
ORD1220,2025-09-15,South,Toys,Credit Card,7,100.6,704.2,43
ORD1259,2025-03-28,North,Furniture,Cash,2,94.58,189.16,22
ORD1099,2025-09-16,North,Toys,Credit Card,5,379.76,1898.8,36
ORD1342,2025-11-29,North,Grocery,Credit Card,3,40.27,120.81,43
ORD1213,2025-10-11,North,Toys,Credit Card,2,250.1,500.2,49
ORD1571,2025-05-04,North,Electronics,Debit Card,5,156.85,784.25,44
ORD1566,2025-08-04,East,Toys,Cash,6,275.48,1652.88,66
ORD1179,2025-06-22,North,Clothing,Credit Card,2,87.31,174.62,60
ORD1146,2025-06-06,North,Toys,Debit Card,2,11.04,22.08,68
ORD1168,2025-11-26,East,Electronics,Credit Card,3,65.77,197.31,36
ORD1316,2025-05-23,South,Furniture,Credit Card,4,108.21,432.84,64
ORD1270,2025-10-03,North,Clothing,Cash,2,164.95,329.9,46
ORD1109,2025-09-19,North,Electronics,Credit Card,3,270.95,812.85,40
ORD1013,2025-05-09,West,Grocery,Cash,1,357.11,357.11,52
ORD1409,2025-10-06,South,Electronics,Credit Card,3,20.4,61.2,33
ORD1060,2025-07-11,East,Toys,Cash,7,28.62,200.34,43
ORD1505,2025-04-19,East,Toys,Credit Card,2,200.39,400.78,25
ORD1569,2025-05-31,South,Grocery,Credit Card,5,40.09,200.45,31
ORD1283,2025-04-12,South,Grocery,Credit Card,8,261.82,2686.16,27
ORD1261,2025-05-10,East,Electronics,Cash,9,484.86,4363.74,19
ORD1450,2025-05-02,South,Furniture,Debit Card,2,195.2,390.4,20
ORD1308,2025-12-20,East,Furniture,Cash,4,481.02,1924.08,46
ORD1003,2025-07-11,West,Toys,Credit Card,5,8.5,51.0,42
ORD1419,2025-09-08,West,Electronics,Debit Card,3,437.01,1311.03,31
ORD1560,2025-04-06,East,Grocery,Cash,1,65.41,65.41,56
ORD1187,2025-01-17,South,Electronics,Credit Card,8,380.4,3043.2,48
ORD1320,2025-09-13,South,Electronics,Upi,9,242.28,2180.52,50
ORD1052,2025-09-21,South,Furniture,Cash,5,18.67,130.69,51
ORD1017,2025-08-15,North,Grocery,Credit Card,5,282.83,1414.15,31
ORD1165,2025-09-12,North,Electronics,Credit Card,3,444.29,1332.87,45
ORD1050,2025-10-26,South,Electronics,Upi,5,212.79,1489.53,67
ORD1191,2025-09-27,East,Toys,Credit Card,3,462.58,1387.74,67
ORD1115,2025-08-27,South,Grocery,Credit Card,1,142.05,142.05,18
ORD1463,2025-02-11,South,Toys,Cash,1,256.19,256.19,61
