OrderID,OrderDate,Region,Category,PaymentMethod,Quantity,UnitPrice,Revenue,CustomerAge
ORD1564,2025-04-10,West,Clothing,Credit Card,3.0,392.17,1176.51,52.0
ORD1141,2025-02-08,East,Grocery,Cash,8.0,,2787.12,
ORD1435,2025-12-19,South,Toys,credit card,1.0,113.16,113.16,59.0
ORD1070,2025-03-31,SOUTH,Clothing,Cash,9.0,250.54,2254.86,67.0
ORD1291,2025-09-20, East ,Furniture,UPI,7.0,264.96,1854.72,24.0
ORD1258,2025-01-21, East ,Electronics,Cash,8.0,205.63,1645.04,47.0
ORD1000,2025-04-13,West,Toys,Cash,8.0,301.34,2410.72,56.0
ORD1229,2025-04-09,north,Electronics,credit card,4.0,420.77,1683.08,64.0
ORD1249,2025-01-12, East ,Furniture,credit card,9.0,436.53,3928.77,36.0
ORD1383,2025-06-09,East,Furniture,credit card,8.0,,1070.24,54.0
ORD1337,2025-02-11,north,Clothing,credit card,1.0,477.89,477.89,34.0
ORD1110,2025-07-02,,Grocery,cash ,8.0,94.13,753.04,21.0
ORD1294,2025-05-21, East ,Toys,cash ,9.0,397.9,3581.1,32.0
ORD1387,2025-03-22,north,Toys,UPI,9.0,396.89,3572.01,66.0
ORD1455,2025-06-25,West,Furniture,cash ,1.0,57.1,57.1,66.0
ORD1200,2025-05-26,SOUTH,Toys,Credit Card,1.0,455.62,455.62,32.0
ORD1333,2025-11-10, East ,Toys,Credit Card,5.0,417.98,2089.9,62.0
ORD1159,2025-02-18, East ,Electronics,credit card,7.0,216.26,1513.82,36.0
ORD1441,2025-08-03,North,,UPI,2.0,61.67,123.34,47.0
ORD1321,2025-06-13, East ,,cash ,6.0,415.52,2493.12,69.0
ORD1053,2025-11-18, East ,Grocery,Credit Card,6.0,297.46,1784.76,39.0
ORD1557,2025-05-19,South,Electronics,Credit Card,4.0,474.86,1899.44,64.0
ORD1451,2025-06-05,West,Electronics,Cash,9.0,18.57,167.13,50.0
ORD1248,2025-11-10,SOUTH,Clothing,,9.0,86.18,775.62,31.0
ORD1280,2025-03-23,north,Electronics,Cash,1.0,64.5,64.5,24.0
ORD1101,2025-09-17,SOUTH,Electronics,Credit Card,8.0,,2487.76,45.0
ORD1422,2025-08-10,North,Furniture,Cash,4.0,439.23,1756.92,19.0
ORD1507,2025-01-28,SOUTH,Electronics,Debit Card,5.0,147.27,736.35,52.0
